Numero;Caso;Mes;Resolucion;Comunicación;Categoria;Subcategoria;Segmento;Equipo_Resolutor;Canal;Movimiento;Monto;Cliente;Productos_act;Sexo
23;38350257;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;OUT LEAN;CSEDB;SERVICIO CUENTA CLASSI;$ 3.719,01;Eminent;0;M
24;38427051;Mayo;Desfavorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;SUC;CARGO REPOSICION (4517699021409518);$ 539,48;Eminent;1;M
25;38262581;Octubre;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;SUC;COM. MANT. CC/CCE;$ 2.066,12;Eminent;3;M
26;38662311;Diciembre;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;PYME Micro;Comisiones y Morosidad;SUC;EMI.EXTRACTO (PARCIAL);$ 3,53;Prefer;4;F
27;38875866;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;?;SUC;COM. MANT. CC/CCE (Septiembre 2020);$ 1.820,00;Prefer;2;F
28;38293106;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Cuentas;CCC;GASTOS DE SERVICIO EMINENT;$ 6.446,28;Masivo;0;F
29;38555729;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;ARROYO;SUC;COM.SERV.EMINENT (800078194710);$ 10.330,58;Masivo;1;F
30;38803669;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;?;SUC;INTERESES (Mayo 2023);$ 2.419,31;Masivo;3;F
31;38375893;Abril;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;CCC;CARGOGESTCOBRANZA;$ 323,00;Eminent;4;F
32;38288527;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Baja;PARQUE LEZAMA;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;2;F
33;38785871;Enero;Desfavorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;SUC;SERVICIO CUENTA SIMPLE;$ 2.892,56;Prefer;0;M
34;38278624;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CCC;CCC;COM.SERV.PREFER (800014157921);$ 2.272,73;Masivo;1;M
35;38585055;Marzo;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Baja;Comisiones y Morosidad;CSEDB;COM. MANT. CC/CCE (Marzo 2023);$ 2.066,12;Eminent;3;F
36;38527622;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;COM.BANELCO O/BCO (4517690133139127);$ 619,83;Negocios;4;F
37;38297404;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;FLORIDA OESTE;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;F
38;38558592;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;FAMILIA GALICIA;CASA MATRIZ TORRE;SUC;GASTOS DE SERVICIO EMINENT;$ 5.165,16;Masivo;0;M
39;38574932;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;1;M
40;38179944;Diciembre;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;Cuentas;CCC;COM.SERV.CLASSIC;$ 3.719,01;Eminent;3;F
41;38693789;Noviembre;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;4;M
42;38707670;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CCC;COM.SERV.EMINENT (800009315466);$ 10.330,58;Prefer;2;F
43;38448055;Agosto;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Cuentas;SUC;PUNIT. PAG.MIN.ANTERIO;$ 197,54;Prefer;0;M
44;38894022;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;PARERA;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Masivo;1;M
45;38714088;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Comisiones y Morosidad;CCC;SERVICIO CUENTA TOTAL;$ 4.132,23;Prefer;3;M
46;38545282;Junio;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;Comisiones y Morosidad;SUC;COM. MANT. CC/CCE (Enero 2023);$ 5.625,00;Masivo;4;F
47;38317125;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Alta;?;SUC;COM.SERV.PREFER;$ 4.545,45;Eminent;2;F
48;38173664;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Baja;AVENIDA 44;SUC;COM.SERV.CTA.TOT;$ 1.652,95;Eminent;0;F
49;38722330;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;1;M
50;38587857;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;?;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;3;M
51;38401989;Octubre;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;Cuentas;CCC;COM.SERV.EMINENT (800083199008);$ 8.181,82;Masivo;4;F
52;38688983;Diciembre;Desfavorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;Comisiones y Morosidad;CCC;COM.SERV.PREFER (800030808336);$ 6.198,35;Eminent;2;F
53;38328504;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;TANDIL;SUC;SERVICIO CUENTA TOTAL;$ 3.305,79;Eminent;0;M
54;38212746;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 3.057,85;Eminent;1;M
55;38819974;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Baja;Comisiones y Morosidad;SUC;COM.BANELCO O/BCO (4517690119331631);$ 867,78;Eminent;3;M
56;38687558;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;?;ONB;Com.serv.eminent;$ 6.446,28;Prefer;4;M
57;38744940;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;F
58;38190698;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;CAD;COM.SERV.PREFER;$ 4.545,45;Masivo;0;F
59;38318648;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;?;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
60;38921575;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;COM.SERV.EMINENT (800034795239);$ 8.264,46;Masivo;3;F
61;38314581;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;4;F
62;38340744;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;CAD;SERVICIO CUENTA CLASSIC;$ 3.719,01;Negocios;2;F
63;38331148;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;0;F
64;38344394;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;Ensenada;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Masivo;1;M
65;38809039;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CAD;CAD;COM.SERV.CTA.TOT (800058264268);$ 4.132,23;Eminent;3;M
66;38167308;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;4;F
67;38675477;Noviembre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;CAD;CAD;COM.SERV.EMINENT (800083731591);$ 2.270,94;Prefer;2;F
68;38411013;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CALLAO Y ARENALES;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;0;F
69;38763881;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;PARQUE LEZAMA;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Eminent;1;M
70;38308622;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;JARDIN BOTANICO;SUC;GASTOS DE SERVICIO EMINENT;$ 6.446,28;Eminent;3;M
71;38712099;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Prefer;4;F
72;38307501;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Cuentas;SUC;GASTOS DE SERVICIO EMINENT;$ 4.090,81;Prefer;2;M
73;38543191;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;AV. CORDOBA;SUC;COM.SERV.EMINENT (800065708771);$ 8.264,46;Prefer;0;F
74;38225983;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CAD;GASTOS DE SERVICIO EMINENT;$ 6.446,28;Masivo;1;M
75;38637529;Enero;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;Comisiones y Morosidad;CCC;COM.BANELCO O/BCO (4517690107909356);$ 6.363,72;Prefer;3;M
76;38313990;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;ALTA CORDOBA;SUC;GASTOS DE SERVICIO EMINENT;$ 6.446,28;Masivo;4;M
77;38333017;Octubre;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;2;F
78;38535540;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;?;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
79;38872178;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;OUT LEAN;CSEDB;COM.SERV.EMINENT (800070671846);$ 2.851,69;Prefer;1;F
80;38716585;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ROSARIO PASEO DEL SIGLO;SUC;COM.SERV.CLASSIC (800083999217);$ 4.699,04;Masivo;3;M
81;38424945;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;M
82;38500312;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA CLASSIC;$ 3.719,01;Eminent;2;F
83;38299974;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;CCC;COMISION RENO.ANUAL(12;$ 5.636,34;Eminent;0;F
84;38766845;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 3.057,85;Eminent;1;M
85;38440925;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;FAC CS ECONOMICAS;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Eminent;3;M
86;38646253;Mayo;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;COM.BANELCO O/BCO (4517690104042839);$ 3.181,86;Prefer;4;M
87;38723870;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;CCC;GASTOS DE SERVICIO EMINENT;$ 8.264,46;Prefer;2;M
88;38223173;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Masivo;0;F
89;38651492;Julio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL(12;$ 7.989,00;Masivo;1;F
90;38173387;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Cuentas;CAD;INTERESES FINANCIACION;$ 713,27;Masivo;3;F
91;38676083;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;JUMBO UNICENTER;SUC;COM.SERV.CTA.NEG (800052497570);$ 6.198,35;Eminent;4;F
92;38256620;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;2;F
93;38700140;Noviembre;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;0;F
94;38911481;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CAD;CAD;COM.SERV.PREFER (800052274520);$ 6.187,63;Masivo;1;F
95;38899831;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;AZUL;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Eminent;3;M
96;38760123;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Banca Privada;Comisiones y Morosidad;SUC;PUNIT. PAG.MIN.ANT.ANT;$ 6.557,69;Negocios;4;M
97;38828828;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;Nordelta;SUC;COM.SERV.CTA.SIMP (800072911836);$ 2.892,56;Prefer;2;F
98;38597436;Junio;Desfavorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;SUC;INTERESES FINANCIACION;$ 15.776,40;Masivo;0;F
99;38409104;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;PLAZA DE MAYO;SUC;COM.SERV.EMINENT (800016820561);$ 6.446,28;Eminent;1;F
100;38681228;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;BAHIA BLANCA;SUC;COM.SERV.EMINENT (800065236002);$ 5.956,03;Eminent;3;M
101;38647675;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;PARQUE INDUSTRIAL PILAR;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;4;M
102;38828081;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;MENDOZA;SUC;COM.SERV.PREFER (800072265845);$ 5.371,90;Prefer;2;F
103;38311499;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;BAHIA BLANCA;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;0;M
104;38818942;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;1;F
105;38462955;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;GRAL. ROCA;SUC;COM.SERV.PREFER (800045642331);$ 4.545,45;Prefer;3;M
106;38486910;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;Boulevard Alberdi;SUC;COM.SERV.CTA.TOT (800040264584);$ 3.305,79;Masivo;4;M
107;38811642;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Alta;ZARATE;SUC;COM.SERV.EMINENT (800069272623);$ 10.330,58;Eminent;2;M
108;38219403;Junio;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Baja;Cuentas;SUC;COM.SERV.CTA.NEG;$ 2.024,83;Eminent;0;F
109;38215930;Abril;Favorable al cliente;Sin Envío;Cuentas Reclamos;Comisiones e intereses;Renta Baja;Cuentas;ONB;Com.serv.cta.tot;$ 1.115,74;Prefer;1;F
110;38649616;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL(12;$ 2.561,68;Masivo;3;F
111;38526961;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;PARERA;SUC;GASTOS DE SERVICIO EMI;$ 8.181,82;Masivo;4;M
112;38819853;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;MARTINEZ;SUC;COM.SERV.PREFER (800040230876);$ 6.198,35;Eminent;2;M
113;38608217;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;OLIVOS ALTO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
114;38892590;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;FAC CS ECONOMICAS;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;1;F
115;38399740;Julio;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Baja;Cuentas;SUC;COM.SERV.PREFER (800071141441);$ 4.545,45;Eminent;3;M
116;38249320;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;BOEDO;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Prefer;4;M
117;38711063;Enero;Favorable al cliente;Sin Envío;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;CCC;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Prefer;2;M
118;38886182;Diciembre;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;CAD;COM.SERV.PREFER (800014676137);$ 6.198,35;Masivo;0;M
119;38748188;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CONECTA;Conecta;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
120;38215080;Septiembre;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Cuentas;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;3;F
121;38920811;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Palmares;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;4;F
122;38442554;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;?;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Negocios;2;F
123;38403730;Junio;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Alta;Cuentas;SUC;INTERESES (Febrero 2023);$ 97,84;Prefer;0;F
124;38323338;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Cuentas;SUC;INTERESES FINANCIACION;$ 3.917,55;Masivo;1;F
125;38239275;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;PERSONAS ANSES;SAN JUAN;SUC;SERVICIO CUENTA TOTAL;$ 3.305,79;Eminent;3;F
126;38318712;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;LANUS OESTE;SUC;COM.SERV.CTA.NEG;$ 4.545,45;Negocios;4;M
127;38713690;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;M
128;38220147;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 6.446,28;Masivo;0;F
129;38563124;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;GERLI;SUC;COM.SERV.PREFER (800069417028);$ 205,09;Eminent;1;F
130;38545093;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;COM.SERV.PREFER (800036364855);$ 6.198,35;Eminent;3;F
131;38315119;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;SERVICIO CUENTA TOTAL;$ 3.305,79;Prefer;4;M
132;38836858;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;GÃœEMES;SUC;COM.SERV.CTA.SIMP (800055630042);$ 2.892,56;Prefer;2;M
133;38613419;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;0;F
134;38685350;Junio;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Alta;Comisiones y Morosidad;CAD;COM.SERV.EMINENT (800086366193);$ 4.132,11;Masivo;1;M
135;38827090;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;CCC;COM.SERV.CTA.TOT (800043467664);$ 4.132,23;Prefer;3;F
136;38487276;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CORONEL DIAZ;SUC;GASTOS DE SERVICIO EMI;$ 4.090,92;Masivo;4;M
137;38819778;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CUTRAL CO;SUC;COM.SERV.PREFER (800014607119);$ 4.132,23;Eminent;2;M
