Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo;AgeAntiguedad;Beneficio
27;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;SUC;CARGO REPOSICION;$ 1.820,00;Prefer;2;F;7;700
28;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM MANT CCE;$ 6.446,28;Masivo;0;F;8;800
29;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 10.330,58;Masivo;1;F;9;900
30;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO EMINENT;$ 2.419,31;Masivo;3;F;10;1000
31;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;COMISION MANT DE CUENTA;$ 323,00;Eminent;4;F;11;1100
32;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Negocios;2;F;12;1200
33;Enero;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 2.892,56;Prefer;0;M;13;1300
34;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CCC;CARGO REPOSICION;$ 2.272,73;Masivo;1;M;14;1400
35;Marzo;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;CSEDB;COM MANT CCE;$ 2.066,12;Eminent;3;F;15;1500
36;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 619,83;Negocios;4;F;16;1600
37;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.545,45;Prefer;2;F;17;1700
38;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;FAMILIA GALICIA;SUC;COMISION MANT DE CUENTA;$ 5.165,16;Masivo;0;M;18;1800
39;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 6.198,35;Eminent;1;M;19;1900
40;Diciembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM BANELCO;$ 3.719,01;Eminent;3;F;20;2000
41;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGO REPOSICION;$ 6.198,35;Prefer;4;M;1;100
42;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM MANT CCE;$ 10.330,58;Prefer;2;F;2;200
43;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 197,54;Prefer;0;M;3;300
44;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Masivo;1;M;4;400
45;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.132,23;Prefer;3;M;5;500
46;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 5.625,00;Masivo;4;F;6;600
47;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;SUC;COM BANELCO;$ 4.545,45;Eminent;2;F;7;700
48;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;SUC;CARGO REPOSICION;$ 1.652,95;Eminent;0;F;8;800
49;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;CCC;COM MANT CCE;$ 6.198,35;Prefer;1;M;9;900
50;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;3;M;10;1000
51;Octubre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 8.181,82;Masivo;4;F;11;1100
52;Diciembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 6.198,35;Eminent;2;F;12;1200
53;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;CARGOGESTCOBRANZA;$ 3.305,79;Eminent;0;M;13;1300
54;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 3.057,85;Eminent;1;M;14;1400
55;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;CARGO REPOSICION;$ 867,78;Eminent;3;M;15;1500
56;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;ONB;COM MANT CCE;$ 6.446,28;Prefer;4;M;16;1600
57;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;F;17;1700
58;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO EMINENT;$ 4.545,45;Masivo;0;F;18;1800
59;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;1;F;19;1900
60;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 8.264,46;Masivo;3;F;20;2000
61;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;COM BANELCO;$ 4.545,45;Eminent;4;F;1;100
62;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;CARGO REPOSICION;$ 3.719,01;Negocios;2;F;2;200
63;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;COM MANT CCE;$ 4.545,45;Prefer;0;F;3;300
64;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;SUC;SERVICIO CUENTA PREFER;$ 2.479,34;Masivo;1;M;4;400
65;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CAD;SERVICIO EMINENT;$ 4.132,23;Eminent;3;M;5;500
66;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Negocios;4;F;6;600
67;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CAD;CARGOGESTCOBRANZA;$ 2.270,94;Prefer;2;F;7;700
68;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 4.545,45;Masivo;0;F;8;800
69;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGO REPOSICION;$ 10.330,58;Eminent;1;M;9;900
70;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM MANT CCE;$ 6.446,28;Eminent;3;M;10;1000
71;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 10.330,58;Prefer;4;F;11;1100
72;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;SERVICIO EMINENT;$ 4.090,81;Prefer;2;M;12;1200
73;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 8.264,46;Prefer;0;F;13;1300
74;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGOGESTCOBRANZA;$ 6.446,28;Masivo;1;M;14;1400
75;Enero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 6.363,72;Prefer;3;M;15;1500
76;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGO REPOSICION;$ 6.446,28;Masivo;4;M;16;1600
77;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CAD;COM MANT CCE;$ 4.545,45;Eminent;2;F;17;1700
78;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F;18;1800
79;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CSEDB;SERVICIO EMINENT;$ 2.851,69;Prefer;1;F;19;1900
80;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.699,04;Masivo;3;M;20;2000
81;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;4;M;1;100
82;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 3.719,01;Eminent;2;F;2;200
83;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 5.636,34;Eminent;0;F;3;300
84;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM MANT CCE;$ 3.057,85;Eminent;1;M;4;400
85;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 6.446,28;Eminent;3;M;5;500
86;Mayo;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 3.181,86;Prefer;4;M;6;600
87;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 8.264,46;Prefer;2;M;7;700
88;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 2.479,34;Masivo;0;F;8;800
89;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM BANELCO;$ 7.989,00;Masivo;1;F;9;900
90;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CAD;CARGO REPOSICION;$ 713,27;Masivo;3;F;10;1000
91;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM MANT CCE;$ 6.198,35;Eminent;4;F;11;1100
92;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;2;F;12;1200
93;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 6.198,35;Prefer;0;F;13;1300
94;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 6.187,63;Masivo;1;F;14;1400
95;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Eminent;3;M;15;1500
96;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Banca Privada;SUC;COM BANELCO;$ 6.557,69;Negocios;4;M;16;1600
97;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 2.892,56;Prefer;2;F;17;1700
98;Junio;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM MANT CCE;$ 15.776,40;Masivo;0;F;18;1800
99;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 6.446,28;Eminent;1;F;19;1900
100;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 5.956,03;Eminent;3;M;20;2000
101;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.198,35;Prefer;4;M;1;100
102;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 5.371,90;Prefer;2;F;2;200
103;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM BANELCO;$ 4.545,45;Prefer;0;M;3;300
104;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGO REPOSICION;$ 6.198,35;Masivo;1;F;4;400
105;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 4.545,45;Prefer;3;M;5;500
106;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 3.305,79;Masivo;4;M;6;600
107;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Eminent;2;M;7;700
108;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 2.024,83;Eminent;0;F;8;800
109;Abril;Sin Envio;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;ONB;CARGOGESTCOBRANZA;$ 1.115,74;Prefer;1;F;9;900
110;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM BANELCO;$ 2.561,68;Masivo;3;F;10;1000
111;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGO REPOSICION;$ 8.181,82;Masivo;4;M;11;1100
112;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM MANT CCE;$ 6.198,35;Eminent;2;M;12;1200
113;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F;13;1300
114;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;1;F;14;1400
115;Julio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;3;M;15;1500
116;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 3.719,01;Prefer;4;M;16;1600
117;Enero;Sin Envio;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 10.330,58;Prefer;2;M;17;1700
118;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGO REPOSICION;$ 6.198,35;Masivo;0;M;18;1800
119;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;Conecta;COM MANT CCE;$ 4.545,45;Masivo;1;F;19;1900
120;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;3;F;20;2000
121;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;4;F;1;100
122;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.446,28;Negocios;2;F;2;200
123;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 97,84;Prefer;0;F;3;300
124;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;COM BANELCO;$ 3.917,55;Masivo;1;F;4;400
125;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;PERSONAS ANSES;SUC;CARGO REPOSICION;$ 3.305,79;Eminent;3;F;5;500
126;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;COM MANT CCE;$ 4.545,45;Negocios;4;M;6;600
127;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;M;7;700
128;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO EMINENT;$ 6.446,28;Masivo;0;F;8;800
129;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 205,09;Eminent;1;F;9;900
130;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 6.198,35;Eminent;3;F;10;1000
131;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 3.305,79;Prefer;4;M;11;1100
132;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;CARGO REPOSICION;$ 2.892,56;Prefer;2;M;12;1200
133;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;COM MANT CCE;$ 6.198,35;Prefer;0;F;13;1300
134;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Alta;CAD;SERVICIO CUENTA PREFER;$ 4.132,11;Masivo;1;M;14;1400
135;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;SERVICIO EMINENT;$ 4.132,23;Prefer;3;F;15;1500
136;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.090,92;Masivo;4;M;16;1600
137;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 4.132,23;Eminent;2;M;17;1700
138;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 10.330,58;Eminent;0;M;18;1800
139;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 3.305,79;Prefer;1;F;19;1900
140;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CSEDB;COM MANT CCE;$ 4.545,45;Masivo;3;F;20;2000
141;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;F;1;100
142;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Eminent;2;M;2;200
143;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;COMISION MANT DE CUENTA;$ 2.272,73;Eminent;0;M;3;300
144;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 2.272,73;Eminent;1;F;4;400
145;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 4.545,45;Eminent;3;F;5;500
146;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;CARGO REPOSICION;$ 4.287,00;Prefer;4;M;6;600
147;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;CAD;COM MANT CCE;$ 4.090,81;Prefer;2;M;7;700
148;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;ONB;SERVICIO CUENTA PREFER;$ 4.958,68;Masivo;0;M;8;800
149;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Masivo;1;M;9;900
150;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 3.305,79;Masivo;3;F;10;1000
151;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CSEDB;CARGOGESTCOBRANZA;$ 808,00;Eminent;4;F;11;1100
152;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Pyme;SUC;COM BANELCO;$ 277,22;Negocios;2;F;12;1200
153;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;SIN RENTA;SUC;CARGO REPOSICION;$ 2.231,40;Prefer;0;F;13;1300
154;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CAD;COM MANT CCE;$ 4.132,23;Masivo;1;F;14;1400
