Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo
31;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;COMISION MANT DE CUENTA;$ 323,00;Eminent;4;F
32;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Negocios;2;F
33;Enero;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 2.892,56;Prefer;0;M
34;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CCC;CARGO REPOSICION;$ 2.272,73;Masivo;1;M
35;Marzo;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;CSEDB;COM MANT CCE;$ 2.066,12;Eminent;3;F
36;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 619,83;Negocios;4;F
37;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.545,45;Prefer;2;F
38;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;FAMILIA GALICIA;SUC;COMISION MANT DE CUENTA;$ 5.165,16;Masivo;0;M
39;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 6.198,35;Eminent;1;M
40;Diciembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM BANELCO;$ 3.719,01;Eminent;3;F
41;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGO REPOSICION;$ 6.198,35;Prefer;4;M
42;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM MANT CCE;$ 10.330,58;Prefer;2;F
43;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 197,54;Prefer;0;M
44;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Masivo;1;M
45;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.132,23;Prefer;3;M
46;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 5.625,00;Masivo;4;F
47;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;SUC;COM BANELCO;$ 4.545,45;Eminent;2;F
48;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;SUC;CARGO REPOSICION;$ 1.652,95;Eminent;0;F
49;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;CCC;COM MANT CCE;$ 6.198,35;Prefer;1;M
50;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;3;M
51;Octubre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 8.181,82;Masivo;4;F
52;Diciembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 6.198,35;Eminent;2;F
53;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;CARGOGESTCOBRANZA;$ 3.305,79;Eminent;0;M
54;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 3.057,85;Eminent;1;M
55;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;CARGO REPOSICION;$ 867,78;Eminent;3;M
56;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;ONB;COM MANT CCE;$ 6.446,28;Prefer;4;M
57;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;F
58;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO EMINENT;$ 4.545,45;Masivo;0;F
59;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;1;F
60;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 8.264,46;Masivo;3;F
61;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;COM BANELCO;$ 4.545,45;Eminent;4;F
62;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;CARGO REPOSICION;$ 3.719,01;Negocios;2;F
63;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;COM MANT CCE;$ 4.545,45;Prefer;0;F
64;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;SUC;SERVICIO CUENTA PREFER;$ 2.479,34;Masivo;1;M
65;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CAD;SERVICIO EMINENT;$ 4.132,23;Eminent;3;M
66;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Negocios;4;F
67;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CAD;CARGOGESTCOBRANZA;$ 2.270,94;Prefer;2;F
68;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 4.545,45;Masivo;0;F
69;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGO REPOSICION;$ 10.330,58;Eminent;1;M
70;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM MANT CCE;$ 6.446,28;Eminent;3;M
71;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 10.330,58;Prefer;4;F
72;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;SERVICIO EMINENT;$ 4.090,81;Prefer;2;M
73;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 8.264,46;Prefer;0;F
74;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGOGESTCOBRANZA;$ 6.446,28;Masivo;1;M
75;Enero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 6.363,72;Prefer;3;M
76;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGO REPOSICION;$ 6.446,28;Masivo;4;M
77;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CAD;COM MANT CCE;$ 4.545,45;Eminent;2;F
78;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
79;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CSEDB;SERVICIO EMINENT;$ 2.851,69;Prefer;1;F
80;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.699,04;Masivo;3;M
81;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;4;M
82;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 3.719,01;Eminent;2;F
83;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 5.636,34;Eminent;0;F
84;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM MANT CCE;$ 3.057,85;Eminent;1;M
85;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 6.446,28;Eminent;3;M
86;Mayo;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 3.181,86;Prefer;4;M
87;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 8.264,46;Prefer;2;M
88;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 2.479,34;Masivo;0;F
89;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM BANELCO;$ 7.989,00;Masivo;1;F
90;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CAD;CARGO REPOSICION;$ 713,27;Masivo;3;F
91;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM MANT CCE;$ 6.198,35;Eminent;4;F
92;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;2;F
93;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 6.198,35;Prefer;0;F
94;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 6.187,63;Masivo;1;F
95;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Eminent;3;M
96;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Banca Privada;SUC;COM BANELCO;$ 6.557,69;Negocios;4;M
97;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 2.892,56;Prefer;2;F
98;Junio;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM MANT CCE;$ 15.776,40;Masivo;0;F
99;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 6.446,28;Eminent;1;F
100;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 5.956,03;Eminent;3;M
101;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.198,35;Prefer;4;M
102;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 5.371,90;Prefer;2;F
103;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM BANELCO;$ 4.545,45;Prefer;0;M
104;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGO REPOSICION;$ 6.198,35;Masivo;1;F
105;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 4.545,45;Prefer;3;M
106;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 3.305,79;Masivo;4;M
107;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Eminent;2;M
108;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 2.024,83;Eminent;0;F
109;Abril;Sin Envio;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;ONB;CARGOGESTCOBRANZA;$ 1.115,74;Prefer;1;F
110;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM BANELCO;$ 2.561,68;Masivo;3;F
111;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGO REPOSICION;$ 8.181,82;Masivo;4;M
112;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM MANT CCE;$ 6.198,35;Eminent;2;M
113;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
114;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;1;F
115;Julio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;3;M
116;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 3.719,01;Prefer;4;M
117;Enero;Sin Envio;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 10.330,58;Prefer;2;M
118;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGO REPOSICION;$ 6.198,35;Masivo;0;M
119;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;Conecta;COM MANT CCE;$ 4.545,45;Masivo;1;F
120;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;3;F
121;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;4;F
122;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.446,28;Negocios;2;F
123;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 97,84;Prefer;0;F
124;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;COM BANELCO;$ 3.917,55;Masivo;1;F
125;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;PERSONAS ANSES;SUC;CARGO REPOSICION;$ 3.305,79;Eminent;3;F
126;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;COM MANT CCE;$ 4.545,45;Negocios;4;M
127;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;M
128;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO EMINENT;$ 6.446,28;Masivo;0;F
129;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 205,09;Eminent;1;F
130;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 6.198,35;Eminent;3;F
131;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 3.305,79;Prefer;4;M
132;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;CARGO REPOSICION;$ 2.892,56;Prefer;2;M
133;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;COM MANT CCE;$ 6.198,35;Prefer;0;F
134;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Alta;CAD;SERVICIO CUENTA PREFER;$ 4.132,11;Masivo;1;M
135;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;SERVICIO EMINENT;$ 4.132,23;Prefer;3;F
136;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.090,92;Masivo;4;M
137;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 4.132,23;Eminent;2;M
138;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 10.330,58;Eminent;0;M
139;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 3.305,79;Prefer;1;F
140;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CSEDB;COM MANT CCE;$ 4.545,45;Masivo;3;F
141;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;F
142;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Eminent;2;M
143;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;COMISION MANT DE CUENTA;$ 2.272,73;Eminent;0;M
144;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 2.272,73;Eminent;1;F
145;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 4.545,45;Eminent;3;F
146;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;CARGO REPOSICION;$ 4.287,00;Prefer;4;M
147;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;CAD;COM MANT CCE;$ 4.090,81;Prefer;2;M
148;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;ONB;SERVICIO CUENTA PREFER;$ 4.958,68;Masivo;0;M
149;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Masivo;1;M
150;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 3.305,79;Masivo;3;F
151;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CSEDB;CARGOGESTCOBRANZA;$ 808,00;Eminent;4;F
152;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Pyme;SUC;COM BANELCO;$ 277,22;Negocios;2;F
153;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;SIN RENTA;SUC;CARGO REPOSICION;$ 2.231,40;Prefer;0;F
154;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CAD;COM MANT CCE;$ 4.132,23;Masivo;1;F
155;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;3;F
156;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO EMINENT;$ 3.305,63;Negocios;4;F
157;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 37.137,73;Prefer;2;M
158;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 722,31;Masivo;0;M
159;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM BANELCO;$ 6.198,35;Eminent;1;F
160;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;CARGO REPOSICION;$ 2.892,56;Eminent;3;F
161;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;CCC;COM MANT CCE;$ 774,53;Prefer;4;F
162;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;M
163;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.545,45;Prefer;0;M
